developer,userscore,metascore,genres,rating,summary,publisher,title,release_date
Volition Inc.,7.40,71,Action Adventure|Open-World|,M,"Saints Row IV: Re-Elected After saving the world from a terrorist attack the leader of the 3rd Street Saints is elected to become President of the United States. Things go reasonably well until an alien warlord named Zinyak attacks the white house and abducts his entire cabinet. Now stuck inside a reality bending simulation, the President and the Saints fight to save themselves, Earth, and the entire galaxy if that all sounds crazy to you, trust us: were just getting started. Saints Row: Gat out of Hell In this standalone expansion epilogue to Saints Row IV, join Johnny Gat and Kinzie Kensington on an Orphean quest to save the Bosss soul from the bowels of Hell. Come for the demon killing, stay for the historical icons, open world shenanigans, talking gun, and full length musical number. Yes, seriously.",Deep Silver,Saints Row IV: Re-Elected,"Mar 27, 2020"
Square Enix,6.10,71,Miscellaneous|Compilation|,E10+,"<span class=""blurb blurb_collapsed"">In celebration of the SaGa series' 30th anniversary, the first three games in the series are coming to Nintendo Switch in one collection! <br/><br/>The first Game Boy RPG to sell over a million units and the memorable first installment of the series: THE FINAL FANTASY LEGEND. 
A title that gained</span>",Square Enix,Collection of SaGa: Final Fantasy Legend,"Dec 15, 2020"
Sports Interactive,8.50,71,Sports|Team|Soccer|Management|,E,"Decent game overall, it is what you expect a very good football simulator. Its almost the same game as FM 19 but you can say that for every game that has a yearly release.",Sega,Football Manager 2020 Touch,"Dec 10, 2019"
Sekai Games,7.49,71,Action Adventure|Adventure|General|Survival|,None,"A jump scare free, skill-based survival horror sequel to the 2019 adventure. Four years have passed since the Whitlock Mansion tragedy. Florine, a former maid, is determined to resurrect the person who means everything to her. To succeed, she must travel past the third dimension and into the",Sekai Games,Clea 2,"Mar 25, 2021"
Sumo Digital,7.20,71,Racing|Arcade|Automobile|,E,Team Sonic Racing combines the best elements of arcade and fast and fast-paced competitive style racing as you face-off with friends in off with friends in intense multiplayer racing. Race together and work as a team by sharing power-ups and speed boosts. Take control of your racing style -- Choose from 3 distinct character types and unlock game changing vehicle customisation options to suit your racing style. Speed up. Gear Up -- Team Racing at Sonic Speed!,Sega,Team Sonic Racing,"May 21, 2019"
Rekim,7.00,71,Action Adventure|General|,E10+,"Pool Panic frees billiards from the table and unleashes it into a world where everything from jungles and deserts to cities and swamps is a living pool game! You already know that sinking eight balls is the ultimate goal, but can you succeed while contending with monster balls chasing you, or ballerina balls leaping away from your well-aimed shots? Take on the role of the mischievous, and dare we say, oblivious cue ball in Pool Panic's unique world comprised of 100+ levels while enjoying the single-player campaign, or invite your friends to join you for a multiplayer panic. ",Adult Swim,Pool Panic,"Jul 19, 2018"
Square Enix,6.90,71,Role-Playing|Japanese-Style|,T,"The 1998 PlayStation® classic is back: SaGa Frontier is remastered. The team of eight have returned – now with Fuse added as a playable character. Choose your favorite character and embark on your own unique journey. Each of the eight characters have different goals and endings. Your choices will affect how events unfold using the Free-Form Scenario System. This in-depth system will allow you to manipulate and expand a story all your own. Challenge yourself in nail-biting battles by using “glimmer"" as well as learning new skills such as the ability to fire consecutive special attacks from multiple team members.",Square Enix,SaGa Frontier Remastered,"Apr 15, 2021"
Nerd Monkeys,6.70,71,Action Adventure|Adventure|General|,None,"Out of Line wasdesigned with a stylized approach. The mechanics of the game revolve around San’s spear, something the character sees as a tool that will help him navigate this strange world. We want players to learn through experimentation, constantly tinkering with puzzles until they find a logical solution. This design philosophy plays a thematic role in our game, as most individuals find their purpose through trial and error.",Hatinh Interactive,Out of Line,"Aug 18, 2021"
HandyGames,6.60,71,Action|Shooter|Shoot-'Em-Up|Top-Down|Vertical|,E10+,Avoid a swarm of bullets and face fearsome war machines in air battles and boss fights. Aces of the Luftwaffe: Squadron is a vertically scrolling shoot ‘em up with a fully-voiced narrative. Upgrade each member of your squadron with their personal skill tree and take on the Aces with up to three friends in epic 4-player local co-op battles.,HandyGames,Aces of the Luftwaffe: Squadron,"Nov 17, 2017"
Atooi LLC,6.00,71,Action|Platformer|2D|,E10+,"Drifting through the stars. Xeodrifter is the story of an interstellar drifter traveling the stars on a simple mission of exploration. We join our nomad as he embarks on the investigation of a small cluster of four planets in the omega sector, after a collision with a rogue asteroid damaged his warp core. Blast your way through alien landscapes, seek out valuable secrets, and defeat ancient guardians to unlock powers from a legendary supreme culture in this exciting journey of mystery and adventure.",Atooi LLC,Xeodrifter,"Feb 15, 2018"
"Troglobytes Games, S.L.",8.00,71,Action|Shooter|Shoot-'Em-Up|Top-Down|,M,"A dystopian world presents an ambience of dislocation, menace and tough love which is set around World War III. The unseen aggressor marauding and consuming its way through the population is a parasitic organism capable of making hosts of unsuspecting human beings, consuming what’s left of their souls and wreaking unfathomable havoc.",HoundPicked Games,HyperParasite,"Apr  3, 2020"
Kinmoku,7.49,71,Adventure|Visual Novel|,M,"<span class=""blurb blurb_collapsed"">After a night of fun, passion, and one too many drinks, you wake up the next morning to find a complete stranger lying naked beside you in bed. What do you do?<br/><br/>In One Night Stand, explore the unknown bedroom and seek out clues to identify who the stranger is and what happened to bring you</span>",Ratalaika Games,One Night Stand,"Oct  4, 2019"
IlluminationGames,6.80,71,Puzzle|Stacking|,E10+,"Welcome to the team at StarBlox Incorporated – where sorting cargo is a contact sport. Load your rocket resource blocks quickly and efficiently to beat the competition. But watch out – the shipping world is fierce! Your opponent can sabotage your work by stealing blocks, delivering punches or throwing you in the incinerator. As you deliver cargo to the far corners of the solar system, each of the planets, moons and asteroids you visit will present new challenges – from black holes to gravity to waves of lava. Please try not to die - it tarnishes our safety track record. StarBlox Inc. is a unique mash up of a puzzler and a brawler made in partnership with Ingenium – Canada’s Museums of Science and Innovation. Crafted by experts for scientific accuracy, the stunning planetary backdrops will make you feel like you’re really there.",IlluminationGames,StarBlox Inc.,"Oct 18, 2019"
Croteam,7.49,71,Miscellaneous|Compilation|,None,"Prepare to unleash your inner beast as you go after an army of wicked extraterrestrials. Follow the notorious hero, Sam 'Serious' Stone, in his quest to destroy the alien overlord, Mental, in The Serious Sam Collection - the most action-packed compendium of Serious Sam games. Featuring four of the best Serious Sam games ever made, The Serious Sam Collection has been updated with enhanced visuals, lush landscapes, improved textures and character models in HD. With an arsenal of chainsaws, flamethrowers, rocket launchers, sniper rifles and more, this is some serious first-person shooting action. Now four titles are available for the cost of a single game.",Devolver Digital,Serious Sam Collection,"Nov 17, 2020"
Nuke Nine,7.49,71,Role-Playing|General|,T,"<span class=""blurb blurb_collapsed"">Vagante is an action roguelike platformer in a dark fantasy world filled with dangers. Face this challenging game cooperatively with friends both locally and online, or solo.<br/> <br/>Vagante is an adventure set in a dark fantasy world filled with monsters, demons, and crooks. Despite these</span>",BlitWorks,Vagante,"Jan 27, 2022"
Three Rings,7.30,71,Strategy|Management|Business / Tycoon|,E,"<span class=""blurb blurb_collapsed"">Inspired by tales of their grandfather's pioneering days, the protagonist decides to pack their bags and leave the hustle and bustle of big city life for the frontier in Olive Town. <br/>When they arrive, they run into Victor, the town's mayor and their grandfather's old friend. He brings</span>",XSEED Games,Story of Seasons: Pioneers of Olive Town,"Mar 23, 2021"
Bombservice,7.90,71,Action|Action Adventure|Platformer|Open-World|Metroidvania|,T,"Momodora: Reverie Under the Moonlight explores a cursed land in decline. Evil spreads, the dead rise, and corruption reigns. Hope is but a faded memory for all but one, a priestess named Kaho from the village of Lun. An audience with her majesty, the queen, would surely save the land--but",DANGEN Entertainment,Momodora: Reverie Under the Moonlight,"Jan 10, 2019"
Pathea Games,5.20,71,Simulation|Virtual|Virtual Life|,E10+,"Restore your Pa's neglected workshop to its former glory by fulfilling commissions, growing crops, raising animals, and befriending the quirky inhabitants of this charming post-apocalyptic land. Armed with your Pa's old handbook and workbench, you must gather, mine and craft your way to being crowned the number one workshop in Portia. Help the locals rebuild the town and uncover the secrets locked deep away beneath it. Be prepared though…it won't be easy. The town of Portia is full of friendly new faces for you to meet. Make friends, complete requests, exchange gifts, go on dates and let romance blossom! ",Team17,My Time At Portia,"Apr 16, 2019"
Pixel Perfex,7.00,71,Action|Shooter|Shoot-'Em-Up|Horizontal|,E,[Update] A BIG Patch 1.0.1 (more like 2.0.1) fixed most issues and drastically reduced times to collect weapons. Balance is also better. Some,Headup Games,Earth Atlantis,"Oct  5, 2017"
Square Enix,7.90,71,Role-Playing|Action RPG|,T,"<span class=""blurb blurb_collapsed"">Create your World. In ancient times, the world was saved from destruction by sealing locations and events within magical artifacts.<br/>Now, you have the chance to recreate this world as you desire by discovering artifacts, placing them, and exploring the mysteries inside. <br/>&gt; Construct a</span>",Square Enix,Legend of Mana Remastered,"Jun 24, 2021"
Spry Fox,7.30,71,Adventure|General|,None,"Welcome to Cozy Grove, a life-sim game about camping on a haunted, ever-changing island. As a Spirit Scout, you'll wander the island's forest each day, finding new hidden secrets and helping soothe the local ghosts. With a little time and a lot of crafting, you'll bring color and joy back to",The Quantum Astrophysicists Guild,Cozy Grove,"Apr  8, 2021"
Subliminal,7.49,71,Adventure|General|,E,"With its somewhat simple polygonal art, abundance of color, and undeniable cute factor, Button City is a moderately laid back adventure",Subliminal,Button City,"Aug 10, 2021"
Tomorrow Corporation,6.90,71,Puzzle|Action|,T,"Congratulations on your new Little Inferno Entertainment Fireplace! Throw your toys into your fire, and play with them as they burn. Stay warm in there. It's getting cold outside. Burn flaming logs, screaming robots, credit cards, batteries, exploding fish, unstable nuclear devices, and tiny galaxies. An adventure that takes place almost entirely in front of a fireplace - about looking up up up out of the chimney, and the cold world just on the other side of the wall.",Tomorrow Corporation,Little Inferno,"Mar 16, 2017"
Humble Hearts,6.80,71,Action Adventure|General|,E10+,"Can you believe it? That madman, Amadeus Guildenstern, just traveled through time and kidnapped all the U.S. Presidents! Yes, all of them! Even the bad ones! If you're going to fix history, you'll need the help of the world's most elite stealth operatives: The Department of Sneakin'. Infiltrate the enemy base, avoid their patrols, and hack their systems to gain valuable intel. Build your Sneakin' HQ, and figure out how to stop Guildenstern's time-traveling scheme. Classic tactical sneakin' action, rendered with only the finest polygons. Unlock new characters, weapons, and perks to aid you in your mission. Fight incredible bosses, including the evil Dr. Acula (probably a vampire) and Vice President Helicopter (who is a helicopter). [Nintendo]",Humble Hearts,Never Stop Sneakin',"Dec 14, 2017"
Cavalier Game Studios,4.80,71,Adventure|General|,T,"<span class=""blurb blurb_collapsed"">The Marquis is renowned for three things: his annual masked balls, his eclectic taste in friends, and his grand casino mansion -- ""The Sexy Brutale"".<br/>But this year's party is very different. Something truly terrible has found its way into the heart of ""The Sexy Brutale"", turning the ball</span>",Tequila Works,The Sexy Brutale,"Dec  7, 2017"
ClockStone Studio,6.70,71,Simulation|Virtual|Career|,E,"Enter the Aperture Science Enrichment Center and experience Bridge Constructor Portal – the unique merging of the classic Portal and Bridge Constructor games. As a new employee in the Aperture Science test lab, it's your job to build bridges, ramps, slides, and other constructions in 60 test chambers and get the Bendies safely across the finish line in their vehicles. Make use of the many Portal gadgets, like portals, propulsion gel, repulsion gel, aerial faith plates, cubes, and more to bypass the sentry turrets, acid pools and laser barriers, solve switch puzzles, and make it through the test chambers unscathed. Let Ellen McLain, the original voice of GLaDOS, guide you through the tutorial, and learn all the tips and tricks that make a true Aperture Science employee. [Nintendo]",Headup Games,Bridge Constructor Portal,"Feb 28, 2018"
Arc System Works,7.20,71,Action Adventure|Sandbox|,E,"From legendary creator Mr. Yasuhiro Wada (TOYBOX Inc.) comes Happy Birthdays: a sandbox game in which players create cube-shaped worlds that give rise to diverse and unique lifeforms. With careful experimentation, players can shape the geography and alter the temperature of the world to create the conditions for life and witness the birth of an entire ecosystem.",NIS America,Happy Birthdays,"Jun  5, 2018"
Lozange Lab,7.49,71,Strategy|General|,E,"Dive into the relaxing and refreshing atmosphere of Swim Out, a strategic, turn-based puzzle game, that will transport you into a sunny day by the swimming pool, the river or the sea. Plan each of your strokes wisely and be sure to never cross any other swimmer's path if you want to",Lozange Lab,Swim Out,"Mar 20, 2018"
LEAP Game Studios,7.80,71,Action|Beat-'Em-Up|2D|,E10+,"<span class=""blurb blurb_collapsed"">A beautiful hand-drawn adventure awaits! With 5 playable characters (featuring Hat Kid) and a 4-player couch co-op, this beat'em up will capture your heart!<br/><br/>Tunche is a charming, hand-drawn beat'em up with roguelike elements, co-op, and a pinch of shaman witchcraft. Choose one of the five</span>",LEAP Game Studios,Tunche,"Nov  2, 2021"
4D Door Games,6.90,71,Adventure|Visual Novel|,M,"WILL: A Wonderful World is a narrative game with a twist, packed with unique puzzles and an incredible cast. There was an urban legend. Write your troubles down on a note. Hold it in your hand at midnight and pray. “God, please help me…” Then God will hear your plea and change your fate. A young girl wakes up, groggy and in an unknown room. A talking dog appears before her and she becomes startled by his revelation: They are gods and it is their duty to change the fate of any humans that ask for their help. Letters appear in the mail and with pen in hand she begins her job. Dive deep into the story and learn about those that seek out your help but, remember, changing someone’s fate will affect others. Experience each story, edit letters and solve puzzles; perhaps the young girl’s memory will return, but what will she learn about herself and her mission? ",CIRCLE Entertainment,WILL: A Wonderful World,"Oct 18, 2018"
CreativeForge Games,6.90,71,Strategy|Turn-Based|General|,M,"Phantom Doctrine is a strategic turn-based espionage thriller set at the peak of the Cold War. Drawing on a wide variety of influences and capturing the subtle intrigue of classic spy films, the game thrust the player into a mysterious world of covert operations, counterintelligence,",Forever Entertainment,Phantom Doctrine,"Jun  6, 2019"
MuHa Games,6.90,71,Strategy|Turn-Based|4X|,T,"Thea: The Awakening is a turn-based strategic survival game steeped in Slavic myth and monstrosity set after an apocalyptic force known only as The Darkness has engulfed the world. There are Strigas and Baba Yagas aplenty, but there are no heroes, no monster slayers, and no great armies capable of banishing them. You have only a few hopeless and starving survivors who are desperately trying to stay alive. You are their last and only true hope. The game combines turn-based strategic gameplay with the tension and grit of a rogue-like, a captivating story you can uncover through a series of in-game events, and a unique combat system based on a complex card battle game. ",Monster Couch,Thea: The Awakening,"Feb  1, 2019"
Traxmaster Software,7.49,71,Action|Platformer|2D|,E,"Exception is a combat platformer set inside a computer system which has been hijacked by a totalitarian virus. Lead the resistance across stylistic transforming levels. When an old woman's computer is taken over by a virus bent on total annihilation, you assume control of an ordinary software program transformed into an elite combat machine.  Retake the system and build your character into a formidable instrument of retribution.",Traxmaster Software,Exception,"Aug 13, 2019"
A44,6.80,71,Role-Playing|Action Adventure|Action RPG|Open-World|,T,"Ashen is an open world co-op action RPG about a wanderer in search of a place to call home. As you adventure through Ashen, you’ll occasionally encounter other players in a massive open world. It’s up to you to decide how to deal with them — fight together against evil, invite them into your party or simply ignore them.",Annapurna Interactive,Ashen,"Dec  9, 2019"
RedDeerGames,7.00,71,Puzzle|Action|Logic|,E,"Real Arcade, Quite good dynamics, puzzles and good music. The vibrating Switch is a perfect match for the climate of the game and transmits wonderfully what is happening at the level. I'm at 34!",RedDeerGames,Cyber Protocol,"Sep 26, 2019"
com8com1 Software,7.80,71,Action|Shooter|Shoot-'Em-Up|Horizontal|,E10+,"A solid shooter, with a nice R-Type kinda feel to it, you have a decent selection of weapons and power ups, and you're force orb can rotate around you're ship in various positions to keep the aliens on their toes.",Headup Games,Rigid Force Redux,"Jun  5, 2020"
Hungry Bear Games,6.30,71,Action|Platformer|2D|,E10+,A short but great action platformer in the vains of old Gameboy games. I reallly did enjoy the soundscore and the bossfights. Also quite challenging. Recomended for friday night entertainment.,Hungry Bear Games,Dogurai,"Mar 24, 2020"
TicToc Games,7.49,71,Action|Platformer|2D|,E10+,"<span class=""blurb blurb_collapsed"">Play as the Ultimate Digital Underdog!<br/> <br/>Adventures of Pip, is an action-platformer with a fresh gameplay twist inside a retro 32-bit world. Alas, Pip is an unlikely 1-pixel hero yet has the unique ability to absorb the pixels of his defeated enemies to evolve into three different forms.</span>",TicToc Games,Adventures of Pip,"Sep 10, 2020"
Buckshot Software,8.10,71,Action|Shooter|First-Person|Arcade|,None,"One man and his guns. Become a mysterious Warlock who embarks onto a dangerous mission to eradicate all evil. Put your finger on the trigger and travel through time and space to wreak havoc like in the golden days of fast paced, adrenaline-pumping first person shooters, hooking you for hours of super fun carnage. Let’s rock and roll!",Crunching Koalas,Project Warlock,"Jun 11, 2020"
Visual Dart,7.70,71,Action|Action Adventure|General|,T,"Change Your Blade, Change Your Destiny. Ultra Age is a high-speed, sword-swinging action game set in the far future that follows the story of young warrior Age, who embarks on a mission to save humankind from extinction. Use your blades to cut through robotic and mutant foes, explore",DANGEN Entertainment,Ultra Age,"Sep  9, 2021"
MythicOwl,6.90,71,Puzzle|General|,E,"Very addictive and perfectly executed game. Sound design, soundtrack, controls, level of difficulty, presentation and art style are all spot",MythicOwl,Hexologic,"Jun 11, 2018"
Warner Bros.,8.00,71,Action Adventure|General|,E10+,"This is a REALLY fun game to play.  I'm not a diehard gamer at all; I liked the Jurassic Park/World movies, and I like Legos enough to play",Warner Bros. Interactive Entertainment,LEGO Jurassic World,"Sep 17, 2019"
Graffiti Games,7.50,71,Action|Platformer|3D|,E10+,"A Dark World Awaits – Travel through the perished world of Penumbra to explore unique areas filled with diverse enemies, sharp 3D platforming challenges, quests, collectibles, and more. Embark on an extraordinary journey through the desolated kingdom of Penumbra and discover the hidden secrets of this long-forgotten land. Explore mystical temples, encounter survivors and take on strange quests to collect valuable items. Along your adventure, slash your way through daunting adversaries, roam across mysterious and abandoned regions, leap through deadly traps and ultimately master the art of movement.",Graffiti Games,Blue Fire,"Feb  4, 2021"
VEWO Interactive Inc.,8.30,71,Role-Playing|Trainer|,E10+,"Nexomon: Extinction is a return to classic monster catching games, complete with a brand new story, eccentric characters and over 300 unique Nexomon to trap and tame. The world is on the brink of extinction as mighty Tyrant Nexomon fight for dominion over humans and monsters. Join the guild",PQube,Nexomon: Extinction,"Aug 28, 2020"
Code Mystics Inc.,7.49,71,Action|Fighting|2D|,E10+,Mix it up in COLOR with King Of Fighters R-2 now on NEOGEO Pocket Color! Get SKILLS in the MAKING Mode and create your very own custom-made character! You can also play two-player VS. MODE battles and trade SKILLS using the NEOGEO Pocket Link Cable! 14 characters to choose from including 2 new characters make King Of Fighters R-2 H-O-T!,SNK Corporation,King of Fighters R-2,"Aug  7, 2020"
Crunching Koalas,7.20,71,Action Adventure|General|,T,"In a land filled with Penguin Vikings, Wurst Zombies, and Hipster Ice Giants, survival is an art. Fortunately, an ancient champion with an elegant weapon has been summoned to please the Gods and restore balance to the universe. Grab your lightspear, become a Germonaut, and traverse lands straight out of Germanic myths. Survive with style and expand your powers to fight for the glory and amusement of the almighty Gods. [Nintendo]",Crunching Koalas,Lichtspeer: Double Speer Edition,"Sep  7, 2017"
Compile Heart,7.49,71,Role-Playing|Japanese-Style|,M,"Arata Mizunashi, a video game programmer, receives a notification from an email sent to him by Shina Ninomiya, a colleague of his who went missing nearly one year ago. Together, they worked to create World's Odyssey (W.O.D.), an immersive virtual landscape powered by breathtaking,",Idea Factory,Death end re;Quest,"Apr 27, 2021"
Rising Star Games,6.40,71,Miscellaneous|Party / Minigame|,E,"The dance floor fills, the line gets longer… come on down, it's time to conga! Shake your virtual hips to the ridiculously fun arcade action of Conga Master as everyone fights to make the longest conga line possible. No rhythm required – anyone can conga. Playing Conga Master couldn't be easier: steer your dancer across the floor, adding people to your line as you go. Longer congas let you add people faster, but watch out for pigs stinking up your line! Even better, drag three friends onto the dance floor for some local multiplayer conga madness and see who'll become the true Conga Master. [Nintendo]",Rising Star Games,Conga Master Party!,"Sep 28, 2017"
Pocket,7.49,71,Miscellaneous|Exercise / Fitness|,E,"Kick your workout up a notch! Grab a Joy-Con in each hand and get ready to achieve great results with a workout program based on martial arts moves developed specifically for the Nintendo Switch. Knock out inactivity with short and intense calorie-burning exercises using punches, elbows, knees, kicks, and more to get a full body workout in half the time! Exercises designed by experts for maximum efficiency based on strikes from not just boxing, but also Muay Thai, karate, and kung-fu, all to keep you fighting fit! Multiple game modes allow you to exercise in a way that fits your lifestyle and schedule. Take care of your body by properly warming up or cooling down with guided stretches, strive toward your goals in Personal Training Mode, or jump into 3-Minute Fitness Mode for short-duration, high-efficiency exercises when you are short on time. Over 25 diverse music tracks, ranging from electronic dance music to rock, will have you grooving as you punch and kick to the beat. Keep up the training and you can unlock additional exercises and moves to further round out your total body workout. With 60 courses created for both beginners and veterans alike, you can be sure to get a good workout no matter where you are on your fitness journey! ",XSEED Games,Knockout Home Fitness,"Sep 28, 2021"
Wild Rooster,7.49,71,Action|Platformer|2D|,None,"<span class=""blurb blurb_collapsed"">Dig Dog is a fast-paced, perfectly-pitched rogue-lite, offering an addictive slice of nostalgia<br/> <br/>The main gameplay here is straightforward</span>",Wild Rooster,Dig Dog,"Apr 26, 2019"
"Proletariat, Inc.",8.00,71,Action|Shooter|Third-Person|Arcade|,T,I love this game is so much fun I fever have if any battle royal i play so P.S. best game ever,"Proletariat, Inc.",Spellbreak,"Sep  3, 2020"
Kemco,7.49,71,Adventure|Point-and-Click|,None,"<span class=""blurb blurb_collapsed"">It's gone! My game is lost! Take back to hunting for consoles hidden by Mom, Let's find the game console Mom hid!<br/> <br/>Is it inside the chest or on the shelf? Could it be under the sofa, too?

Where is it!?

Find the 'game' in each level using various items!

An easy-going and funny</span>",Hap,Mom Hid My Game! 2,"Apr 28, 2021"
Paralune LLC,7.49,71,Adventure|General|,E,"What would you do if you were friends with the gods, and your influence on them could change the universe? Mythic Ocean is an atmospheric and charming adventure where you'll befriend a pantheon of gods under the sea, help them find themselves, and make choices that shape the creation of a",Nakana.io,Mythic Ocean,"Jul  2, 2021"
Hanaji Games,7.49,71,Action|Shooter|Shoot-'Em-Up|Horizontal|,E10+,"Strange and unusual creatures inhabited Earth’s underground, unknown to humankind. This was until Momoko, a fashion-obsessed high school girl, accidentally discovered them. Together, they plotted to combine the civilizations above and below the surface to create a new world: Dezatopia. The player controls Akane and Aoba, Momoko’s schoolmates who were hired to help start construction of the towering subterranean bridge until they discovered the extent of her plans. They decided to thwart the ambitions of Momoko and her loyal beasts with their work ship, the Speleological Fighter Pink Aurora.",Hanaji Games,Dezatopia,"Mar 19, 2020"
Coconut Island Games,7.49,71,Adventure|General|Point-and-Click|,E,"LUNA The Shadow Dust is a fully hand-animated puzzle adventure, brought to life through wordless storytelling, beautiful cinematics and a breathtaking original soundtrack. Inspired by the old adventure games, LUNA The Shadow Dust is a moving tale of two playable companions drawn together in",Coconut Island Games,LUNA The Shadow Dust,"Oct 22, 2020"
Tozai Games,7.49,71,Action|Platformer|2D|,E,"<span class=""blurb blurb_collapsed"">The legendary game ""Spelunker"" is back with a full remake!<br/> <br/>The legendary game ""Spelunker"" is back with a full remake! Overcome difficult obstacles in search of the legendary treasure! It's time to embark on an unknown adventure!

The cave is full of dangers such as various creatures and</span>",Strictly Limited Games,Spelunker HD Deluxe,"Aug  6, 2021"
Capcom,7.40,71,Action Adventure|General|,M,"As power-hungry warlords battle one another for control of feudal Japan, a young princess is kidnapped. Now, one lone swordsman, Samanosuke, boldly volunteers to rescue and avenge her. An entire legion of demon warriors stands between you and the princess, so you'll need all your weapons and magic to break through. The world of Onimusha: Warlords comes alive with waterfalls, wind effects, insects, and weather, but in order to triumph, you must stay focused on your mission.",Capcom,Onimusha: Warlords,"Jan 15, 2019"
Nintendo,6.50,71,Action|General|,E10+,"Introducing the most immersive, robust Nintendo Labo kit to date—this one combines DIY fun, pass-and-play multiplayer, and family-friendly play with simple, shareable VR gaming. It even includes a programming tool you can use to create your very own VR games and experiences! Feel your creations come to life as you and your family blast through an alien invasion, create 3D works of art, dive into an oceanic photo safari, soar atop a bird, and go wherever else your imagination takes you. [Nintendo]",Nintendo,Nintendo Labo: Toycon 04 VR Kit,"May 12, 2019"
Rainbite,7.49,71,Action Adventure|General|,E,"<span class=""blurb blurb_collapsed""> With restless spirits threatening the safety of Toromi Island’s inhabitants, Tai must venture through dangerous dungeons and across a variety of environments to put the spirits to rest. All in a summer holiday!<br/> <br/>Reverie is an action adventure game set on a fictional island in New Zealand,</span>",Rainbite,Reverie: Sweet As Edition,"Feb  7, 2019"
Silesia Games,7.49,71,Puzzle|Action|,E,"The game consists of over 50 boards, and your goal is the same on each of them: to switch on the fan. But to achieve that, you must do much more than just push the button. There is a current generator on each of the boards, linked to the fan through a path. Problem is, the path is broken in several places. To ensure that the current reaches the fan uninterrupted, you must create an electric arc wherever the circuit was damaged.",Silesia Games,Run the Fan,"Jul 23, 2019"
