release_date,developer,publisher,userscore,rating,summary,metascore,genres,title
"Jan 21, 2020",VitruviusVR,VitruviusVR,7.1,M,"Shadow Legend is an action-adventure game exclusively designed for virtual reality where you play as the Grand Master of the Knights Templar in a story-driven medieval crusade. Freely explore densely filled worlds and use your sword, bow, and magic skills to save your kingdom from the destruction of Lord Adaroth.",77,Role-Playing|Action RPG|,Shadow Legend VR
"Jul 30, 2020",Team Ninja,Sony Interactive Entertainment,7.9,M,"Horrible it would be nice if I could ACTUALLY access the DLC. And yes I have beaten the game, I have tryed all the methods listed online to access the dlc but it still keeps saying buy it when I own the season pass. Don't waste your time with garbage that won't work.",77,Role-Playing|Action RPG|,Nioh 2: The Tengu's Disciple
"Aug 30, 2016",Fiddlesticks Games,Curve Digital,7.3,E,"Hue is a puzzle-platformer through which you alter the world by changing its background color. You explore a dangerous grey land, unearthing colored fragments on a journey to find your missing mother. As obstacles match the background, they disappear, creating new puzzles full of peril, mystery, and colors unseen.",77,Puzzle|Action|,Hue
"Oct 23, 2018",Ubisoft Paris,Ubisoft,5.8,E,"Dance to 40 hits, from ""Finesse (Remix)"" by Bruno Mars Ft. Cardi B. Jump into an even more personalized experience, with a newly curated homepage. 8 exclusive choreographies created with the help of kids' development experts to encourage healthy movement. Join even more multiplayer events",77,Action|Rhythm|Dancing|,Just Dance 2019
"Nov  5, 2019",Ubisoft Paris,Ubisoft,5.3,E10+,"Gather your friends and family and Just Dance like nobody's watching with Just Dance 2020! The 1 Music Video Game Franchise of All Time, with over 67 million units sold, is back this Fall. The newest, freshest Just Dance celebrates 10 years of bringing people together with 40 new hot tracks,",77,Action|Rhythm|Dancing|,Just Dance 2020
"Sep 10, 2020",Lucky Mountain Games,Sumo Digital,6.3,E10+,"Fantastic arcade racing game. Reminds me of the classic Sega arcade games like Outrun, Daytona and Virtua racing. The action is fast and frantic. One of the best games this generation.",77,Racing|Arcade|Automobile|,Hotshot Racing
"Jul  5, 2016",The Game Bakers,The Game Bakers,7.8,M,"Furi is a game where you fight for a reason. It’s a game that teases you before the fight, while you walk toward your fate, the same way you would be pumped up and stressed before a boxing match. As you do, you’ll start to piece together about why you’re here and what you’re fighting for. [The Game Baker / Playstation.com]",77,Action|Action Adventure|General|Fighting|3D|,Furi
"Apr 15, 2021",Square Enix,Square Enix,6.3,T,"The 1998 PlayStation® classic is back: SaGa Frontier is remastered. The team of eight have returned – now with Fuse added as a playable character. Choose your favorite character and embark on your own unique journey. Each of the eight characters have different goals and endings. Your choices will affect how events unfold using the Free-Form Scenario System. This in-depth system will allow you to manipulate and expand a story all your own. Challenge yourself in nail-biting battles by using “glimmer"" as well as learning new skills such as the ability to fire consecutive special attacks from multiple team members.",77,Role-Playing|Japanese-Style|,SaGa Frontier Remastered
"Nov 12, 2020",Giant Squid,Giant Squid,7.7,E10+,"From the creators of ABZÛ, The Pathless is a mythic adventure game about an archer and an eagle in a vast forest. Become the Hunter, a master of archery who travels to a mystical island to dispel a curse of darkness that grips the world. Forge a connection with your eagle companion as you hunt corrupted spirits, but be careful not to become the hunted yourself. Explore misty forests full of secrets, solve puzzles in ancient ruins, and test your skill in epic battles. The bond with your eagle and the fate of the world hang in the balance. [Giant Squid]",77,Action Adventure|General|Open-World|,The Pathless
"May  2, 2017",KO-OP,KO-OP,7.0,E10+,"GNOG is a 3D puzzle game set in a tactile world of toys and secrets. Point, click, grab, poke, spin, pull, and play with uniquely charming monster heads, and explore the hidden worlds inside them from your couch, or face-to-face in stunning PlayStation VR. Filled with eye-catching designs, playful interactions, and a rich, reactive soundtrack, the hand-crafted heads come to life in your hands. Inspired by real-world toy designs, every GNOG head is a miniature world to discover. Grab a bookcase and spin it to reveal a hidden pile of coins, slide levers to navigate a damaged ship through outer space, crank a wheel to cook a stew on the stove – each playful interaction generates lively feedback and surprising consequences. Set to a relaxing and dynamic soundtrack that evolves with each level, the surreal worlds and joyful puzzles of GNOG will have you turning heads. [Playstation.com]",77,Adventure|General|,GNOG
"Feb 14, 2020",Airship Syndicate Entertainment,THQ Nordic,7.3,T,"From the dawn of creation, the council has maintained the Balance across existence. Carrying out their orders are the Horsemen, Nephilim (powerful beings spawned from the unnatural union of angels and demons) who have pledged themselves to the Council and been granted immense power.",77,Role-Playing|Action RPG|,Darksiders Genesis
"Sep  2, 2014",Omega Force,Koei Tecmo Games,6.6,T,"The best in the series, the story is very good mixing Chinese and Japanese mythology, the gameplay is fluid and have good addictions and new",77,Action|Beat-'Em-Up|3D|,Warriors Orochi 3 Ultimate
"Sep 23, 2014",Hidden Path Entertainment,505 Games,7.2,E10+,"Defense Grid 2, DG2, is the highly-anticipated sequel to Hidden Path Entertainments 2008 Defense Grid: The Awakening. Setting the bar as the definitive tower defense game, Defense Grid 2 introduces new worlds and threats to test your tower placement strategies. With a bold new look, a compelling single-player campaign, and the addition of new game modes, online player-versus-player and multiplayer co-op, every play-through brings fun new opportunities and challenges. DG2 comes with a story campaign featuring 21 stunning maps, dynamic level movement, an expanded story and cast of characters, hundreds of challenge mode experiences, new multiplayer modes, a procedurally driven audio score and the ability for players to build their own levels. DG2 also introduces players to DG Architect, a level creation tool set connected to Steam Workshop where players can create their own unique levels to share and possibly even sell if selected. DG2 for the PC was funded in part by Dracogen, a private investor after a 2012 Kickstarter campaign funded the original game's DLC, Defense Grid: Containment. DG2 is developed by Hidden Path Entertainment and published by 505 Games.",77,Strategy|Real-Time|General|Defense|,DG2: Defense Grid 2
"Apr 11, 2017",Mad Fellows Ltd,Mad Fellows Ltd,5.1,E10+,"Speed through stunning, stylised environments tracing ribbons of light, releasing the energy in the music. Battle strange enemies and fight epic boss battles all driven by an incredible licensed soundtrack.",77,Action|Shooter|Rail|,Aaero
"Aug  7, 2018",Survios,Survios,6.2,E,This is a fantastic music arrangement/creation tool which transforms a classical step sequencer into a virtual reality playground. Well done!,77,Action|Miscellaneous|Rhythm|Application|Music|,Electronauts
"Mar 17, 2020",Ubisoft Chengdu,Ubisoft,tbd,None,"<span class=""blurb blurb_collapsed"">[Also known as Uno Ultimate Edition] Brace yourself for a new UNO® experience with the UNO FLIP! DLC. Rediscover the matching game you know with a double-sided deck that gives the classic gameplay an exciting twist.<br/> <br/>Flip the deck with the special Flip card and spice things up with a new</span>",77,Miscellaneous|Board / Card Game|,Uno Flip!
"Apr 18, 2017",Capcom,Capcom,6.4,E10+,"There is a lot of quality, a lot of heart and a lot of soul in this collection. I hope the developers will continue  their work with many other great games that are waiting for their time.",76,Miscellaneous|Compilation|,The Disney Afternoon Collection
"Apr 28, 2015",Haemimont,Kalypso,7.1,T,"Chock full of a host of new gameplay features and new artwork designed from scratch, Tropico 5 takes the series into a new direction - dynasties. You, as El Presidente, will first take control of the infamous island of Tropico during early colonial times and then guide it through the centuries as the world changes and moves ever forward. ",76,Tycoon|Business / Tycoon|Strategy|Management|Government|,Tropico 5
"Feb 27, 2018",Secret Location,Secret Location,7.2,T,"Fun, challenging and immersive. Exciting retro graphics and a variety of weapons and enemies. My only wish is that it had some kind of online co-op, it would truly be a blast to play with a friend. Highly recommended for anyone looking for a visually appealing shooter with lots of replayability.",76,Action|Shooter|First-Person|Arcade|,Blasters of the Universe
"Jun  3, 2014",Gaijin Entertainment,Gaijin Entertainment,5.3,T,"War Thunder - best combat game dedicated to World War II military aviation, armored vehicles, and fleets. Now testing armored vehicles. Most playing. Gaijin`s testing WW2 tanks now. Air-ground combats WW2 in 1 game - very good.",76,Action|Simulation|General|Flight|Vehicle|Combat|,War Thunder
"Jan 24, 2017",Square Enix,Square Enix,8.2,E10+,"KINGDOM HEARTS HD 2.8 Final Chapter Prologue is a compilation of 3 magical KINGDOM HEARTS experiences: Originally released in 2012, KINGDOM HEARTS Dream Drop Distance HD is a full-HD remastered version of KINGDOM HEARTS 3D Dream Drop Distance, brought to console for the first time. Series protagonists Sora and Riku take on the Mark of Mastery exam in preparation for coming threats. The signature action of the KINGDOM HEARTS series has evolved, allowing players to experience faster-paced battles and exploration at a blistering pace. KINGDOM HEARTS χ Back Cover (movie) A new HD movie that tells the mysterious story of the Foretellers, connecting the earliest parts of the series’ history, showcased in the mobile title KINGDOM HEARTS Unchained χ. KINGDOM HEARTS 0.2 Birth by Sleep – A Fragmentary Passage – A completely new playable episode that links to the story of KINGDOM HEARTS III, taking place after the storyline of KINGDOM HEARTS Birth by Sleep played from the perspective of Aqua. [Square-Enix]",76,Miscellaneous|Compilation|Role-Playing|Action RPG|,Kingdom Hearts HD 2.8 Final Chapter Prologue
"Sep  9, 2014",Bungie Software,Activision,6.1,T,"In Destiny (from the creators of Halo) you are a Guardian of the last city on Earth. You are able to wield incredible power. Explore the ancient ruins of our solar system, from the vast dunes of Mars to the lush jungles of Venus. Defeat Earth’s enemies. Reclaim all that we have lost. Become legend. Embark on an epic action adventure with rich cinematic storytelling where you unravel the mysteries of our universe and reclaim what we lost at the fall of our Golden Age. The next evolution of the first-person action genre that promises to provide an unprecedented combination of storytelling, cooperative, competitive, and public gameplay, and personal activities that are all woven into an expansive, persistent online world. Venture out alone or join up with friends. The choice is yours. Personalize and upgrade every aspect of how you look and fight with a nearly limitless combination of armor, weapons, and visual customizations. Take your upgraded character into every mode, including campaign, cooperative, social, public, and competitive multiplayer.",76,Shooter|Sci-Fi|Action|Shooter|First-Person|Sci-Fi|Arcade|,Destiny
"Oct  5, 2018",Yuke's,2K Games,6.1,T,"WWE 2K19 arrives as the latest entry to the flagship WWE video game franchise and features cover Superstar AJ Styles. WWE 2K19 will showcase a massive roster of popular WWE Superstars, Legends and Hall of Famers, as well as NXT favorites. Experience authentic WWE gameplay, extensive creation options, engaging match types, fan-favorite modes and much more!",76,Sports|Individual|Combat|Wrestling|,WWE 2K19
"Dec  9, 2020",2 Ton Studios,Big Sugar Films,5.0,None,Great game! But I think it would be better on an app. Seems like a tier 1 app game. I love it but wish I could play it on my phone or tablet. Love the dark creeping along in the dark even with a torch. Which you of course drop when you enter battle.,76,Action Adventure|General|,Unto The End
"Jan 29, 2021",Gauntlet Games,Crunching Koalas,tbd,None,None,76,Action|Miscellaneous|General|Party / Minigame|,Bonkies
"Jun  5, 2018",Arc System Works,Arc System Works,6.6,T,"<span class=""blurb blurb_collapsed"">THE COLLISION IS INEVITABLE! THE IMPACT WILL BE UNAVOIDABLE!<br/>An unrivaled clash of explosive proportions! The beloved BlazBlue franchise Crosses universes, Tags in fan favorites, and Battles it out in BlazBlue: Cross Tag Battle! Created through an all-star collaboration between BlazBlue,</span>",76,Action|Fighting|2D|,BlazBlue: Cross Tag Battle
"Jun  6, 2019",Milestone S.r.l,Milestone S.r.l,7.5,E,"This game is really good compared with other bike's videogames market offers. It is plenty of new features and the overall feeling is very positive about new physics, gameplay and graphics.",76,Racing|Simulation|Automobile|,MotoGP 19
"Apr 25, 2017",Omega Force,Square Enix,7.6,T,"Take the idea of turn based DQ8, put it in a modern format with action elements. Allow to fight against many enemies at the same time. But keep the idea behind everything, tell a story. Yuji Horii does it with DQH2. A perfect game, but maybe, too easy in the beginning. Fun, anyway.",76,Action|Beat-'Em-Up|3D|,Dragon Quest Heroes II
"Feb 19, 2019",Henchman & Goon,Henchman & Goon,4.3,E,"<span class=""blurb blurb_collapsed"">Pode<br/>an adorable journey home<br/>Pode is a coop puzzle platforming game where you play as  a rock and a star, as you try and climb a mountain</span>",76,Adventure|3D|Third-Person|,Pode
"Apr 23, 2020",Milestone S.r.l,Deep Silver,7.3,E,"Take control of your own career, switch from real teams to new teams created with sponsors from the world of MotoGP™, decide the development of the bike and manage your technical unit to win. Improved physics, with even more realistic and complex braking management. The tire has been divided into independent sectors for wear and temperature, and the fuel consumption can be managed with driving style and power maps. If you were looking for a challenge, this is definitely the one for you. Being a successful driver is much more than just keeping the throttle wide open. You also need to win with style! Unleash your creativity with 6 different graphic editors, including the new Suit and Livery editor for your bike. [Milestone]",76,Racing|Simulation|Arcade|Automobile|,MotoGP 20
"Apr 24, 2020",Square Enix,Square Enix,7.5,T,"When the world was shrouded in darkness, the Goddess of Mana drew forth the Sword of Mana to smite the eight Benevodons, monsters of destruction. She sealed the horrors inside the eight Mana Stones, bringing the realm back from the brink. Weakened from rebuilding the world, the Goddess changed herself into a tree and fell into a deep sleep for many years. However, the forces of evil soon sought to free the Benevodons to gain control of the world. They started a terrible war to further their plot and destabilize the kingdoms. Peace was at an end. Mana itself began to disappear from the world and the Mana Tree started to wither...",76,Role-Playing|Action RPG|,Trials of Mana
"Jul 21, 2015",Toxic Games,Toxic Games,6.8,T,Excellent game. The story is your an astronaut in a cube in space and your trying to solve these puzzles to save earth and you got two people inside your helmet telling you what to do. one telling you to go through with the puzzles and the other one telling you its all a lie and that  your being tested and should stop solving the puzzles. The first person telling you that the other voice is in your head and that your going mad due to the isolation in space and that you need to solve the puzzles asap. The gameplay is great solving puzzles in a room and then moving on to the next one. There is a secret room in which you can solve a rubiks cube which is hard. These puzzles are really taxing but great fun. If your a fan of the portal's then pick this up because its very good,76,Puzzle|Logic|,Q.U.B.E. Director's Cut
"Feb 28, 2017",InXile Entertainment,Techland,6.9,M,"Torment: Tides of Numenera is a single-player role-playing game which continues the thematic legacy of the critically acclaimed Planescape: Torment by having to face complex and nuanced morality decisions, carefully contemplating deep and reactive choices with consequences that echo throughout the game all the while immersed into a new and strange vision taken from by renowned designer and writer Monte Cook's new tabletop role-playing game, Numenera. In Torment: Tides of Numenera, players must decide for themselves the answer to the eternal question, what does one life matter? Numenera's Ninth World is a fantastic vision of a world in which massive civilizations continue to rise and fall with only cities, monuments, and artifacts left behind to serve as reminders of their past existence. These reminders have become part of the accumulated detritus of eons and now this assortment of ancient power, called the numenera, is there for the taking. One of these humans has discovered a way to harness the numenera to grow strong, to cheat death, to skip across the face of centuries in a succession of bodies. But he discovers an unexpected side effect: You.",76,General|Role-Playing|Western-Style|,Torment: Tides of Numenera
"Oct 20, 2020",id Software,Bethesda Softworks,6.7,None,"The fight's not over! Your victory over the hordes of Hell spared Earth from a perilous, demon-infested fate, but saving humanity has upset the delicate balance of power in the heavens. Become the DOOM Slayer once again and set things right in DOOM Eternal's first single-player expansion,",76,Action|Shooter|First-Person|Arcade|,DOOM Eternal: The Ancient Gods Part One
"Apr 11, 2017",Zeboyd Games,Zeboyd Games,7.5,T,"The game has bugs, and glitches, yes, it's also not polished, least not as much as it should be. That said, it's not a cash-in, it's a",76,Console-style RPG|Console-style RPG|Role-Playing|Japanese-Style|,Cosmic Star Heroine
"Feb  3, 2015",Alientrap,Alientrap,7.3,T,"The Gods of Olympus have abandoned humans, leaving them to perish without their benevolence. Take up arms against the Gods, climb Mount Olympus, and assume their divine powers for yourself to ensure the human race’s survival. Apotheon is a 2D action game with a heroic narrative based on Ancient Greek Mythology.",76,Action|Beat-'Em-Up|2D|,Apotheon
"Aug 21, 2020",HB Studios Multimedia,2K Games,6.4,E,"<span class=""blurb blurb_collapsed"">ALL-NEW PGA TOUR CAREER MODE:Prove you’ve got what it takes to become FedExCup Champion. Take on PGA TOUR Pros during your very own career, earning rewards and gear along the way.<br/>  PGA TOUR PROS AND NEW COURSES: Play against Justin Thomas and 11 top pros on stunning, real-life courses</span>",76,Sports|Individual|Golf|Sim|,PGA Tour 2K21
"Sep 30, 2014",Frima Studio,Frima Studio,7.0,E,"<span class=""blurb blurb_collapsed"">Chariot is a humoristic physics-based couch co-op platformer in which a brave princess and her suitor carry a funeral wagon through ancient caves,  fending-off swarms of looters while amassing riches, to bury the King's remains in a worthy gold-filled tomb. <br/><br/>If only that dead King would</span>",76,Action|Platformer|2D|,Chariot
"Oct 27, 2020",ONE MORE LEVEL,All in! Games,7.2,M,"Ghostrunner is a hardcore FPP slasher packed with lightning-fast action, set in a grim, cyberpunk megastructure. Climb Dharma Tower, humanity’s last shelter, after a world-ending cataclysm. Make your way up from the bottom to the top, confront the tyrannical Keymaster, and take your revenge. The streets of this tower city are full of violence. Mara the Keymaster rules with an iron fist and little regard for human life. As resources diminish, the strong prey on the weak and chaos threatens to consume what little order remains. The decisive last stand is coming. A final attempt to set things right before mankind goes over the edge of extinction. As the most advanced blade fighter ever created, you’re always outnumbered but never outclassed. Slice your enemies with a monomolecular katana, dodge bullets with your superhuman reflexes, and employ a variety of specialized techniques to prevail. One-hit one-kill mechanics make combat fast and intense. Use your superior mobility (and frequent checkpoints!) to engage in a never-ending dance with death fearlessly. Ghostrunner offers a unique single-player experience: fast-paced, violent combat, and an original setting that blends science fiction with post-apocalyptic themes. It tells the story of a world that has already ended and its inhabitants who fight to survive.",76,Action|Adventure|General|Platformer|3D|,Ghostrunner
"Mar 13, 2018",Toxic Games,Toxic Games,7.1,T,"Assume the role of Amelia Cross, a stranded archaeologist who has mysteriously awaken among the sand swept ruins of an ancient alien landscape. Together with the distant help of another survivor, Commander Emma Sutcliffe, you must traverse and manipulate the structure of this forgotten world to find a way back home.",76,Sci-Fi|Action|Shooter|First-Person|Arcade|,Q.U.B.E. 2
"Jan 17, 2017",MidBoss,MidBoss,3.4,M,"Neo-San Francisco, 2064 AD. Your life as a struggling journalist is interrupted by the world’s first sapient machine, a ROM (Relationship and Organizational Manager) named Turing. Together, you and the quirky robot will encounter a colorful cast of locals and overcome challenges as you uncover the city’s secrets behind the overlapping futures of technology and humanity. Can you survive in Neo-SF? Or will the mystery go unsolved?",76,General|Adventure|Point-and-Click|,2064: Read Only Memories
"Jun  9, 2021",Creepy Jar,Creepy Jar,7.7,None,"<span class=""blurb blurb_collapsed"">GREEN HELL is an Open World Survival Simulator set in the uncharted unique setting of the Amazonian rainforest.<br/> <br/>You are left alone in the jungle without any food or equipment, trying to survive and find your way out. Clinging to life, the player is set on a journey of durability as the</span>",76,Action Adventure|Survival|,Green Hell
