summary,release_date,publisher,metascore,title,genres,userscore,developer,rating
"The Witcher combines spectacular and visually stunning action with deep and intriguing storyline. The game is set in a world created by best-selling Polish author Andrzej Sapkowski. The world shares many common features with other fantasy lands, but there are also some distinguishing elements setting it apart from others. The game features the player as a ""Witcher"", a warrior who has been trained to fight since childhood, subjected to mutations and trials that transformed him. He earns his living killing monsters and is a member of a brotherhood founded long ago to protect people from werewolves, the undead, and a host of other beasts. It's an action oriented, visually stunning, easy to use, single player RPG, with a deep and intriguing storyline. [CD Projekt]","Oct 30, 2007",Atari,81,The Witcher,Role-Playing|Action RPG|Action RPG|,8.6,CD Projekt Red Studio,M
"For those who fell in love with Dear Esther and Another World, this is one of those masterpieces that come up only once in decade. A must have. Stunning visual style and the sense of mystery drives you the whole time. Amazing. Simply outstanding!","Jan  7, 2013",Cardboard Computer,81,Kentucky Route Zero - Act I,Adventure|General|General|,7.5,Cardboard Computer,None
"Ghostrunner is a hardcore FPP slasher packed with lightning-fast action, set in a grim, cyberpunk megastructure. Climb Dharma Tower, humanity’s last shelter, after a world-ending cataclysm. Make your way up from the bottom to the top, confront the tyrannical Keymaster, and take your revenge. The streets of this tower city are full of violence. Mara the Keymaster rules with an iron fist and little regard for human life. As resources diminish, the strong prey on the weak and chaos threatens to consume what little order remains. The decisive last stand is coming. A final attempt to set things right before mankind goes over the edge of extinction. As the most advanced blade fighter ever created, you’re always outnumbered but never outclassed. Slice your enemies with a monomolecular katana, dodge bullets with your superhuman reflexes, and employ a variety of specialized techniques to prevail. One-hit one-kill mechanics make combat fast and intense. Use your superior mobility (and frequent checkpoints!) to engage in a never-ending dance with death fearlessly. Ghostrunner offers a unique single-player experience: fast-paced, violent combat, and an original setting that blends science fiction with post-apocalyptic themes. It tells the story of a world that has already ended and its inhabitants who fight to survive.","Oct 27, 2020",505 Games,81,Ghostrunner,Action|Adventure|General|Platformer|3D|,8.2,ONE MORE LEVEL,M
Another expansion on the story with same quality as every prior mini DLC release. You can't really go wrong with purchasing it. it expands on elder scrolls lore and was fun to play through.,"Oct 21, 2019",ZeniMax Media,81,The Elder Scrolls Online: Dragonhold,Role-Playing|Massively Multiplayer|,4.6,ZeniMax Media,M
"Instant classic :)  Humorous, well written, clearly made by people with passion for classic point & click games. Highly recommended piece of gaming art!","May 16, 2019",Artifex Mundi,81,Irony Curtain: From Matryoshka with Love,Adventure|General|,7.9,Artifex Mundi,None
None,"Dec  7, 2021",XSEED Games,81,Rune Factory 4 Special,Role-Playing|Action RPG|,tbd,HAKAMA,T
Grace you've outdone yourself! I didn't think that any game could even come close to the original frog detective but by some feat of magic (maybe invisible wizard magic it has been done) amazing 10/10,"Dec  9, 2019",worm club,81,Frog Detective 2: The Case of the Invisible Wizard,Adventure|General|,8.0,Grace Bruxner,None
"Unruly Heroes is an action-adventure game inspired by the famous chinese legend ‘A journey to the west’ better known as the Monkey King Legend. Through this epic adventure, the game will make you live a fantastic and unforgettable experience. The game can be played in coop up to 4 players, but you can decide to play online in fierce Player vs Player modes. Who will be your favorite character?","Jan 23, 2019",Magic Design Studios,81,Unruly Heroes,Action|Platformer|2D|,6.3,Magic Design Studios,None
"Make no mistake, this is a true Lovecraftian cRPG experience. In every scene, every little item, every piece of dialogue you can see the love","Sep 26, 2019",Cultic Games,81,Stygian: Reign of the Old Ones,Adventure|General|,8.0,Cultic Games,None
"This is an excellent game. I am not very good at it, though. I noticed a few reviews in a number of publications which went something like ""0/10, I am bad at this game!"" lmao. GitGud(TM)","Apr 29, 2019",Triternion,81,MORDHAU,Strategy|Real-Time|MOBA|,7.8,Triternion,None
"Paradise Island, a world outside reality. There’s been a murder that only ""investigation freak"" Lady Love Dies can solve. Gather evidence and interrogate suspects in this open world adventure. You can accuse anyone, but you’ll have to prove your case in trial to convict. It’s up to you to","Sep  4, 2020",Fellow Traveller,81,Paradise Killer,General|Adventure|Visual Novel|,7.6,Kaizen Game Works,None
"<span class=""blurb blurb_collapsed"">This is the only professional online CCG with a pay-to-play model:<br/>You unlock all cards with one-time-purchases, and then collect them</span>","Mar  8, 2017",Abrakam SA,81,Faeria,Miscellaneous|Board / Card Game|,7.8,Abrakam SA,E
"Step into the role of an aspiring martial arts master and follow the path of the Open Palm or Closed Fist. In this multi-award-winning action-RPG, your choices and actions will determine the fate of an empire. Will you prevent the destruction of this beautiful land or crush it beneath your heel? Are you a warrior who uses strength and fighting mastery to bring peace or will your power bring pain and ruin? Enhanced PC features include: Customizable, intuitive controls including support for game-pads and keyboard/mouse. Increased graphics resolutions and new visual effects. New monsters and enemies. New fighting styles. Improved combat AI and difficulty levels. New world map interface. Jade Empire: Special Edition is exclusively available for the PC and features increased graphic resolutions with new visual effects and fighting styles, as well as new monsters and enemies with enhanced AI. The game also includes customizable, intuitive controls and an all-new art book as part of the Special Edition bonus content. [BioWare]","Feb 26, 2007",2K Games,81,Jade Empire: Special Edition,Role-Playing|Action RPG|Action RPG|,8.1,BioWare,M
"Ashen is a 3rd person, action RPG about forging relationships. You are a lone wanderer in a sunless land. The only light to be had sputters from an age-old lantern at your side. There is a rumble in the distance, and then a light. Through leaking eyes you make out a peak on the horizon, choking the land in a cloud of ash. Nothing ever shone so bright. The first dawn turns to dusk and finally recedes into familiar blackness. A GAME BY AURORA44. This is the tale of a bygone world. Choose a path and hold on to those you trust. Players can choose to guide those they trust to their camp, encouraging them to rest at the fire and perhaps remain. Together, you might just stand a chance.","Dec  6, 2018",Annapurna Interactive,81,Ashen,Role-Playing|Action Adventure|Action RPG|Open-World|,6.0,A44,T
"When you hear a flash of a human voice on the radio, your hopes and beliefs are confirmed - there are still survivors out in the blistering heat of the post apocalyptic Grand Canyon state. Arizona Sunshine poses a battle for survival in a VR zombie apocalypse in which players need to navigate both the hordes of zombies coming for their brains and the scorching heat in their desperate search for human contact.","Dec  5, 2016",Vertigo Games,81,Arizona Sunshine,Action|Shooter|First-Person|Light Gun|Arcade|,7.1,Jaywalkers Interactive,None
"Easily the best tactical shooter. With certain mods the game is absurdly fun. While the multiplayer is dead now (and has been for at least 10 years), it is still brilliant. A few things in this title lift it above its successor Swat 4; glowsticks and modding tools, as well as slightly better AI. I wish that others were playing online, but that is not the case :( Tied with M&B Warband and LA Noire as (IMO) the best games of all time.","Oct  6, 2000",Sierra Entertainment,81,SWAT 3: Elite Edition,Action|Shooter|Shooter|First-Person|Tactical|Modern|,8.0,Sierra Entertainment,M
"Welcome to the online role-playing game Asheron's Call, where thousands of players inhabit a beautiful 3D fantasy world to make friends and seek out perilous adventure. Customize your alter ego with a unique appearance and balance of heroic skills, then enter a magical frontier of terrible monsters, breathtaking vistas, and fast alliances. With over 500 square miles that offer ever more wonders to explore, Asheron's Call gives you a world of unparalleled scope and freedom, the richest setting yet for creating your personal saga or joining your friends in an epic campaign. [Turbine]","Oct 31, 1999",Microsoft Game Studios,81,Asheron's Call,Role-Playing|Massively Multiplayer Online|Massively Multiplayer|Fantasy|,8.5,Turbine Inc.,T
Yarny's mission is to mend broken bonds and the yarn represents the love and connection between people. The player will use Yarny's thread to do things such as swinging across gaps or rappelling down trees. Te game will also challenge gamers to use the thread in clever and creative ways. [Electronic Arts],"Feb  9, 2016",Electronic Arts,81,Unravel,Action|Platformer|2D|,7.6,Coldwood Interactive,E
"The world's most notorious drivers meet each night on the streets of LA, Paris, and Tokyo. Choose from the latest performance enhanced cars and bikes and compete head-to-head to make a name for yourself. There are no rules. Drive anywhere in the city. Find the fastest route to win. The cops know you are out there - don't get caught. Race with up to 8 players throughout three massive, fully open cities in one of five online play modes. Select any car or bike that you've personally unlocked in offline arcade mode. Join a game or host one yourself via GameSpy.com. A broadband connection is required for online play - there is no slow lane on the streets of Midnight Club 2. [Rockstar Games]","Jun 30, 2003",Rockstar Games,81,Midnight Club II,Driving|Racing|Simulation|GT / Street|GT / Street|Automobile|,7.7,Rockstar San Diego,T
"Chessmaster 10th Edition is a landmark for the franchise and features the largest and most compelling upgrade ever to both gameplay and graphics. Improvements include: New, easy-to-navigate interface with drop-down menus that are loaded with coaching options. New online module that provides a ranking system, create-a-tournament, teaching tools, chess chat and more. New Chessmaster Academy, featuring personalized instruction on everything from basic moves to advanced strategy as taught by some of the world's most famous players ? including International Master Josh Waitzkin and Grand Master Larry Christiansen. [Ubisoft]","Aug 12, 2004",Ubisoft,81,Chessmaster 10th Edition,Miscellaneous|Board Games|Board Games|,7.5,Ubisoft,E
"From Fighting game experts Aksys Games and Arc System Works (Guilty Gear, BlazBlue series) and fan-favorite video game developer French Bread, comes Under Night In-Birth Exe:Late, a brand new 2D fighting game made for all gamers: seasoned pros, and even those just curious about the fighting game genre!","Jul 12, 2016",Arc System Works,81,Under Night In-Birth Exe:Late,Action|Fighting|2D|,8.0,French-Bread,None
"Based on WTCC, one of only three official FIA world championships next to Formula 1 and WRC, RACE features the complete WTCC championship season of 2006, all the cars, drivers and locations, among these several official tracks and cars brand new to the racing game genre. The game is recreating the championship as close to real life as possible and simulates the cars and the driving style in a ultra realistic fashion. RACE delivers several opportunities for beginners to play through step stone introductions such as competing against yourself or your friends in game modes like Ghost Racing or take on the Driver Duels. To keep the game broad RACE ships with various difficulty levels to attract everyone, from hardcore simulation gamers to beginners level still featuring the same elements and a highly realistic driving experience. [Eidos Interactive]","Nov 24, 2006",Viva Media,81,RACE: The WTCC Game,Driving|Racing|Simulation|GT / Street|GT / Street|Automobile|,7.5,SimBin,E
None,"Apr 22, 2015",Microsoft Game Studios,81,Kalimba,Puzzle|Action|General|,7.2,Press Play,None
What a fantastic puzzle game. Innovative puzzle mechanics and amazing visuals and sound design make it hard to put down. Controls feel very,"Jan 29, 2020",Skookum Arts LLC,81,The Pedestrian,Puzzle|Action|,7.6,Skookum Arts LLC,None
"Age of Empires III offers gamers the next level of realism, with advanced battle physics and unparalleled visual detail. The new game picks up where Age of ""Empires II: Age of Kings"" left off, placing gamers in the position of a European power determined to explore, colonize and conquer the New World. This time period features stunning scenes, from towering European cathedrals to courageous tribes of Native Americans, and spectacular combat with Industrial Age units like rifled infantry, cavalry and tall ships bristling with cannons. Age of Empires III excites strategy gamers with new game-play elements, including the concept of a ""Home City,"" new civilizations, units, technologies and an immersive new single-player campaign that will span three generations. [Ensemble Studios]","Oct 18, 2005",Microsoft Game Studios,81,Age of Empires III,Strategy|Real-Time|Historic|Historic|Command|,7.7,Ensemble Studios,T
This is the chapter you was waiting for. i dont want to wite to much but its fazinating how lucas arts could add all the pices together!,"Dec  8, 2009",Telltale Games,81,Tales of Monkey Island Chapter 5: Rise of the Pirate God,Adventure|General|3D|Fantasy|Third-Person|Fantasy|,7.6,Telltale Games,E10+
Having a blast. I love base building games. I must say its a bit repetetive but dont forget that it is an free to play title. Not for,"Jul 25, 2017",Epic Games,81,Fortnite,Action|General|General|Shooter|Third-Person|Tactical|,3.2,Epic Games,T
"Castlevania: Lords of Shadow takes place at the end of days. The Earth's alliance with the Heavens has been threatened by a dark and malevolent force - the mysterious Lords of Shadow - darkness reins the world.  Across this shattered land, the souls of the dead wander unable to find peace, whilst creatures of evil roam free wreaking chaos and death upon the living. Gabriel is a member of the Brotherhood of Light, an elite group of holy knights who protect and defend the innocent against the supernatural. His beloved wife was brutally murdered by the evil forces of darkness and her soul trapped for eternity. Neither living nor dead she realizes the horrific truth of what is at stake and guides Gabriel to his destiny - and hopefully salvation for the world... but at what cost? Thus, Gabriel must travel the destroyed world, defeating the evil tyrants in order to use their powers to bring balance back to the world. Armed with the versatile Combat Cross - the world's last hope must encounter the three factions of the Lords of Shadow and end their unholy rule. ","Aug 27, 2013",Konami,81,Castlevania: Lords of Shadow - Ultimate Edition,Action Adventure|Fantasy|General|Fantasy|,7.5,Mercury Steam,M
"When Strong Bad fails to obey the King of Town's totally unfair email tax, he's placed under house arrest. Once freed from his wrongful imprisonment, Strong Bad goes on a mission to unite the local warring factions under the Strong Badian flag. Is Free Country USA ready for such an awesome ruler? [TellTale Games]","Sep 15, 2008",Telltale Games,81,Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,Miscellaneous|Adventure|General|Compilation|,7.2,Telltale Games,E10+
"Darksiders II follows the exploits of DEATH, one of the four horsemen of the Apocalypse, in a weaving tale that runs parallel to the events in the original Darksiders game. This epic journey propels DEATH through various light and dark realms as he tries to redeem his brother WAR, the horseman who was blamed for prematurely starting the Apocalypse in Darksiders.","Aug 13, 2012",THQ,81,Darksiders II,Action Adventure|Modern|Fantasy|Fantasy|Open-World|,7.9,Vigil Games,M
"Delight in the quaint charm of The Sims 4 Cottage Living Expansion Pack with animal friends, garden-to-table meals, and a close-knit community. Explore the forest to befriend woodland creatures, or head to town to meet the locals. Whether Sims are hugging a cow, making friends (or enemies) with their chickens, or growing the biggest vegetables around, the countryside presents abundant new ways to reconnect with the world.","Jul 22, 2021",Electronic Arts,81,The Sims 4: Cottage Living,Simulation|Virtual|Virtual Life|,5.3,Maxis,T
"Truly a masterpiece, really makes you think about your existence and role on society, I really liked.","Dec  4, 2020",Fellow Traveller,81,Suzerain,Adventure|General|Strategy|Turn-Based|4X|,8.0,Torpor Games,None
"<span class=""blurb blurb_collapsed"">The Cat Lady contains strong adult themes and is recommended only for players over 18.<br/> <br/>By author Remigiusz Michalski (Harvester Games). The Cat Lady follows Susan Ashworth, a lonely 40-year old on the verge of suicide. She has no family, no friends and no hope for a better future. One day</span>","Dec  7, 2012",Harvester Games,81,The Cat Lady,Adventure|General|General|,8.6,Harvester Games,None
"A true, full-length open-world game for VR has arrived from award-winning developers, Bethesda Game Studios. Skyrim VR reimagines the complete epic fantasy masterpiece with an unparalleled sense of scale, depth, and immersion. From battling ancient dragons to exploring rugged mountains and","Apr  2, 2018",Bethesda Softworks,81,The Elder Scrolls V: Skyrim VR,Role-Playing|Western-Style|,6.5,Bethesda Softworks,M
"Vessel is a 2D action and puzzle game featuring the unique ability to simulate characters composed entirely of fluid. Arkwright, inventor of the world famous Fluro (mechanized-fluid automaton) is on a quest to finish his next great invention - The Device - that will alter existence in unimaginable ways. However, Fluros begin to mutate and run amok, and it's up to Arkwright to understand (and exploit) these strange evolutions. Explore physically modeled worlds, solve puzzles by controlling fluid and machines, and harness the power of the mysterious Fluro creatures that populate the land.","Mar  1, 2012",indiePub,81,Vessel,Action|Platformer|Platformer|2D|2D|,7.8,Strange Loop Games,E
"Set in the shattered subway of a post apocalyptic Moscow, Metro 2033 is a story of intensive underground survival where the fate of mankind rests in your hands. In 2013 the world was devastated by an apocalyptic event, annihilating almost all mankind and turning the earth’s surface into a poisonous wasteland. A handful of survivors took refuge in the depths of the Moscow underground, and human civilization entered a new Dark Age. The year is 2033. An entire generation has been born and raised underground, and their besieged Metro Station-Cities struggle for survival, with each other, and the mutant horrors that await outside. You are Artyom, born in the last days before the fire, but raised Underground. Having never ventured beyond your Metro Station-City limits, one fateful event sparks a desperate mission to the heart of the Metro system, to warn the remnants of mankind of a terrible impending threat. Your journey takes you from the forgotten catacombs beneath the subway to the desolate wastelands above, where your actions will determine the fate of mankind. [THQ]","Mar 16, 2010",THQ,81,Metro 2033,Action|Shooter|Shooter|First-Person|Sci-Fi|Sci-Fi|Arcade|,8.1,4A Games,M
"Distant Worlds has ruined me for other space-based 4X-strategy games, which is a genre I love more than any other. I try to go back to GalCiv and MoO once in a while, but nothing matches the scale and minute level of control that Distant Worlds offers. I'll be playing this for years to come.","May 23, 2014",Slitherine,81,Distant Worlds: Universe,Sci-Fi|Strategy|Turn-Based|General|,8.1,Code Force,None
"I liked the first game, even though the game had a few flaws, but the added strategic view and new units completely change the game. To keep it short the game addresses some of the problems that plagued the first game. If you love strategy games then this game is for you!","Nov 10, 2016",Stardock,81,Ashes of the Singularity: Escalation,Strategy|Real-Time|General|Command|,7.4,Stardock,E10+
"Join Captain Piper Faraday, smuggler and occasional pirate, as she recruits a rag-tag team of steam-driven robots and sets out on a daring adventure. With your hearty crew you’ll board, loot and shoot your way through enemy spaceships. Overcome the challenges of the vast frontier by upgrading your robots with unique abilities, weapons – and even stylish hats!","Jun  7, 2016",Image & Form,81,SteamWorld Heist,Strategy|Turn-Based|General|,7.9,Image & Form,None
"A outstanding game that is part Slay the Spire part Xcom, a lot of options and opportunities and the right punishment. A game that any Deck builder and Roguelike fan must play...","Apr  9, 2021",Whatboy Games,81,Trials of Fire,Strategy|Turn-Based|Tactics|,6.9,Whatboy Games,None
"OutRun 2006: Coast to Coast features a choice of 15 fully licensed Ferrari models, featuring the all-new F430 and F430 Spider, as well as the dazzling Superamerica and the stunning 550 Barchetta. Power your way across 15 new American themed environments from the ""OutRun2 SP"" arcade experience. Race from coast to glorious coast with a fresh new mission structure, a license mode and online play, with up to 6 players for a thrilling head-to-head journey. [Sega]","Jun 27, 2006",Sega,81,OutRun 2006: Coast 2 Coast,Driving|Racing|Arcade|Arcade|Automobile|,7.6,Sumo Digital,E
